name,material,role,bbox_x_mm,bbox_y_mm,bbox_z_mm,approx_solid_volume_cm3,recommended_print_axis_up,shapeways_pa12_standard_bbox_ok,shapeways_pa12_smooth_color_bbox_ok,stl,step,source_kind,source_asset,oem_baseline_meshes
head_mount_neck_black,black_underbody,underbody,60.0,50.0,112.0,210.92,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/head_mount_neck_black.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/head_mount_neck_black.step,parametric_loft,,head_yaw_link.STL;head_pitch_link.STL;torso_collision.stl
face_shell,face_shell,face,15.38,90.32,129.7,112.51,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/face_shell.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/face_shell.step,parametric_donor_face_grid,cad/source-assets/human-donor/eliza_face_donor.stl,head_yaw_link.STL;head_pitch_link.STL
left_eye_insert,eye_lip_detail,face_detail,0.7,22.77,6.4,0.05,y,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/left_eye_insert.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/left_eye_insert.step,primitive,,head_yaw_link.STL;head_pitch_link.STL
right_eye_insert,eye_lip_detail,face_detail,0.7,22.77,6.4,0.05,y,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/right_eye_insert.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/right_eye_insert.step,primitive,,head_yaw_link.STL;head_pitch_link.STL
lip_insert,lip_detail,face_detail,0.4,27.56,4.2,0.02,y,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/lip_insert.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/lip_insert.step,primitive,,head_yaw_link.STL;head_pitch_link.STL
left_shoulder_cap,orange_armor,armor,68.0,80.0,94.0,291.52,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/left_shoulder_cap.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/left_shoulder_cap.step,parametric_loft,,left_shoulder_pitch_link.STL;left_shoulder_roll_link.STL
left_shoulder_fastener_front,eye_lip_detail,face_detail,8.0,14.0,14.0,1.22,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/left_shoulder_fastener_front.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/left_shoulder_fastener_front.step,primitive,,left_shoulder_pitch_link.STL;left_shoulder_roll_link.STL
right_shoulder_cap,orange_armor,armor,68.0,80.0,94.0,291.52,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/right_shoulder_cap.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/right_shoulder_cap.step,parametric_loft,,right_shoulder_pitch_link.STL;right_shoulder_roll_link.STL
right_shoulder_fastener_front,eye_lip_detail,face_detail,8.0,14.0,14.0,1.22,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/right_shoulder_fastener_front.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/right_shoulder_fastener_front.step,primitive,,right_shoulder_pitch_link.STL;right_shoulder_roll_link.STL
left_upper_arm_shell,black_underbody,underbody,52.0,38.0,96.0,103.95,z,True,True,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/meshes/left_upper_arm_shell.stl,/home/shaw/eliza/eliza/packages/research/robot/mechanical/unitree-r1-bodykit/out/step/left_upper_arm_shell.step,parametric_loft,,left_shoulder_yaw_link.STL
